time,headline,indico_score
2014-03-04T19:15:44Z,"Japan to Set Bitcoin Rules, Stop Banks and Brokerages From Handling",0.5538053210452749
2014-03-04T23:47:19Z,Japan LDP Official: Bitcoin Rule Needed for Consumer Protection,0.5095471142256663
2014-03-05T01:07:20Z,Japan Said to Be Ready to Impose Bitcoin Rules,0.5523875100612983
2014-03-05T02:57:56Z,"Japan May Tax Bitcoin Deals, Stop Banks, Brokerages From Handling",0.5529924757353747
2014-03-05T02:58:35Z,"Japan May Tax Bitcoin Deals, Stop Banks, Brokerages From Handling",0.5529924757353747
2014-03-05T03:08:13Z,Canadian Police Investigating After Bitcoin Bank Flexcoin Folds,0.5114247827266061
2014-03-05T04:23:51Z,Japan LDP Official: Bitcoin Rule Needed for Consumer Protection,0.5095471142256663
2014-03-05T21:27:24Z,Singapore Police Probe 'Unnatural' Death of American CEO of Bitcoin Trader,0.38773041746729864
2014-03-06T00:00:00Z,"For Bitcoin, Secure Future Might Need Oversight",0.7213583285068771
2014-03-06T00:35:40Z,"CEO in Apparent Suicide Was Bitcoin Fan, Had Other Issues, Too",0.36962313839605077
2014-03-06T00:49:28Z,CEO of Bitcoin Exchange Found Dead in Singapore,0.33084881799906624
2014-03-06T07:10:48Z,"Daily Report: To Ensure a Secure Future, Bitcoin Might Need Oversight ",0.6985456758490226
2014-03-06T14:20:57Z,Bitcoin Is a Protocol. Bitcoin Is a Brand.,0.48160489088197667
2014-03-06T19:18:05Z,Japan Says Not Fully Apprised of Bitcoin Situation,0.46750598216498196
2014-03-06T19:34:57Z,Man Said to Create Bitcoin Denies It,0.41053916849307426
2014-03-06T22:07:18Z,Bitcoin True Believers Unfazed by Losses in Mt. Gox Collapse,0.5225442936046509
2014-03-06T23:57:15Z,Japan Won't Impose Banking Laws on Bitcoin,0.47610713863320325
2014-03-07T03:47:16Z,"A Week After Mt. Gox Collapse, Japan Struggles to Understand Bitcoin",0.5375869196723804
2014-03-07T07:07:55Z,Daily Report: Mystery Swirls Around Unmasking of Bitcoin Inventor,0.5546594771154166
2014-03-07T12:41:43Z,Alleged Bitcoin founder denies involvement,0.3574922954956558
2014-03-07T12:51:43Z,Alleged Bitcoin founder denies involvement,0.3574922954956558
2014-03-08T00:00:00Z,Newsweek Returns to Print and Sets Off a Bitcoin Storm,0.5286752536819436
2014-03-10T15:30:51Z,Morgan Stanley Chief Calls Bitcoin 'Surreal',0.5686751936065841
2014-03-10T15:32:46Z,Japanese Bitcoin Exchange Files US Bankruptcy Case,0.5485080631229565
