time,headline,alchemy_score
2014-02-25T08:51:44Z,Protests after bitcoin exchange disappears,-0.62959
2014-02-25T11:06:46Z,"Defending Bitcoin, Andreessen Says Mt. Gox Is 'Like MF Global'",0.0
2014-02-25T11:59:45Z,What's a Bitcoin? A Look at the Digital Currency,0.13104
2014-02-25T12:40:57Z,No Bailout for Bitcoin Holders,-0.404002
2014-02-25T15:52:06Z,SecondMarket Plans Regulated Bitcoin Exchange,0.0
2014-02-25T17:10:16Z,Collapse of Exchange Spells Trouble for Bitcoin,-0.798709
2014-02-25T18:01:44Z,Digital doubts after Bitcoin debacle,-0.651428
2014-02-25T18:02:35Z,Digital doubts after Bitcoin debacle,-0.651428
2014-02-25T18:38:57Z,Chief of SecondMarket on Bitcoin,-0.262529
2014-02-25T18:47:23Z,Factbox: What Is Bitcoin and How Does It Work?,-0.481318
2014-02-25T21:16:01Z,Trading Site Failure Stirs Ire and Hope for Bitcoin,-0.368422
2014-02-25T22:00:14Z,Japan Authorities Looking Into Closure of Mt. Gox Bitcoin Exchange,0.0
2014-02-26T03:36:56Z,Japan Authorities Looking Into Closure of Mt. Gox Bitcoin Exchange,0.0
2014-02-26T06:33:22Z,"Beyond Mt. Gox, Bitcoin Believers Keep the Faith, See More Robust System",0.266906
2014-02-26T07:02:47Z,"Daily Report: As Mt. Gox Falls, Bitcoin Looks to the Future",-0.755979
2014-02-26T07:19:16Z,"Mt Gox Head Says in Japan, Seeking Solution to Bitcoin Exchange's Woes",-0.455616
2014-02-26T08:40:18Z,"Now, Nations Mull the Ways to Regulate Bitcoin",0.0
2014-02-26T10:16:35Z,"U.S. Attorney Subpoenaed Mt Gox, Other Bitcoin Businesses: Source",0.0
2014-02-26T14:32:15Z,Bitcoin Derivatives Market BTC Suspends Trade After Mt. Gox Goes Dark,-0.483773
2014-02-27T18:50:19Z,Japan Finance Minister: Japan Has Not Yet Decided Its Stance on Bitcoin,0.215369
2014-02-27T19:19:36Z,Bitcoin Owners Find Safe Place for Digital Currency: On Paper,0.728007
2014-02-27T23:31:07Z,Vietnam Says Bitcoin Transactions Are Illegal,-0.668027
2014-02-28T04:11:44Z,Blind evangelism next big threat to bitcoin after Gox bust,-0.794588
2014-02-28T04:37:36Z,Tokyo Bitcoin Exchange Files for Bankruptcy,-0.678413
2014-02-28T09:10:13Z,Mt. Gox Bitcoin Debacle: Huge Heist or Sloppy Glitch?,-0.841753
2014-02-28T10:12:54Z,Fortress Discloses a Paper Loss on Bitcoin,-0.539751
2014-02-28T11:17:15Z,Bitcoin True Believers Unfazed by Losses in Mt. Gox Collapse,-0.357987
2014-02-28T13:09:53Z,Mt. Gox Sued in United States Over Bitcoin Losses,-0.663766
