Week,"buy bitcoin"
2013-09-22 - 2013-09-28,7
2013-09-29 - 2013-10-05,11
2013-10-06 - 2013-10-12,9
2013-10-13 - 2013-10-19,12
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,32
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,83
2013-11-24 - 2013-11-30,100
2013-12-01 - 2013-12-07,72
2013-12-08 - 2013-12-14,51
2013-12-15 - 2013-12-21,55
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,33
2014-01-12 - 2014-01-18,36
2014-01-19 - 2014-01-25,36
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,36
2014-02-16 - 2014-02-22,32
2014-02-23 - 2014-03-01,45
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,20
2014-03-16 - 2014-03-22,18
2014-03-23 - 2014-03-29,22
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,15
2014-04-27 - 2014-05-03,14
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,20
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,19
2014-06-22 - 2014-06-28,19
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,18
2014-08-03 - 2014-08-09,21
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,19
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,24
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,21
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,26
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,19
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,26
2015-02-01 - 2015-02-07,24
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,24
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,22
2015-03-08 - 2015-03-14,20
2015-03-15 - 2015-03-21,24
2015-03-22 - 2015-03-28,32
