time,headline,sentiment,sentimentValue
2014-02-25T01:42:51Z,Major Bitcoin Exchange Said to Be Insolvent,Negative,1
2014-02-25T06:56:34Z,Daily Report: Bitcoin World Is Shaken by Apparent Theft at Exchange,Negative,1
2014-02-25T08:31:44Z,Protests after bitcoin exchange disappears,Negative,1
2014-02-25T08:51:44Z,Protests after bitcoin exchange disappears,Negative,1
2014-02-25T11:06:46Z,"Defending Bitcoin, Andreessen Says Mt. Gox Is 'Like MF Global'",Negative,1
2014-02-25T11:59:45Z,What's a Bitcoin? A Look at the Digital Currency,Negative,1
2014-02-25T12:40:57Z,No Bailout for Bitcoin Holders,Neutral,2
2014-02-25T15:52:06Z,SecondMarket Plans Regulated Bitcoin Exchange,Neutral,2
2014-02-25T17:10:16Z,Collapse of Exchange Spells Trouble for Bitcoin,Negative,1
2014-02-25T18:01:44Z,Digital doubts after Bitcoin debacle,Neutral,2
2014-02-25T18:02:35Z,Digital doubts after Bitcoin debacle,Neutral,2
2014-02-25T18:38:57Z,Chief of SecondMarket on Bitcoin,Neutral,2
2014-02-25T18:47:23Z,Factbox: What Is Bitcoin and How Does It Work?,Negative,1
2014-02-25T21:16:01Z,Trading Site Failure Stirs Ire and Hope for Bitcoin,Negative,1
2014-02-25T22:00:14Z,Japan Authorities Looking Into Closure of Mt. Gox Bitcoin Exchange,Neutral,2
2014-02-26T03:36:56Z,Japan Authorities Looking Into Closure of Mt. Gox Bitcoin Exchange,Neutral,2
2014-02-26T06:33:22Z,"Beyond Mt. Gox, Bitcoin Believers Keep the Faith, See More Robust System",Neutral,2
2014-02-26T07:02:47Z,"Daily Report: As Mt. Gox Falls, Bitcoin Looks to the Future",Neutral,2
2014-02-26T07:19:16Z,"Mt Gox Head Says in Japan, Seeking Solution to Bitcoin Exchange's Woes",Neutral,2
2014-02-26T08:40:18Z,"Now, Nations Mull the Ways to Regulate Bitcoin",Negative,1
2014-02-26T10:16:35Z,"U.S. Attorney Subpoenaed Mt Gox, Other Bitcoin Businesses: Source",Negative,1
2014-02-26T14:32:15Z,Bitcoin Derivatives Market BTC Suspends Trade After Mt. Gox Goes Dark,Negative,1
2014-02-27T18:50:19Z,Japan Finance Minister: Japan Has Not Yet Decided Its Stance on Bitcoin,Negative,1
2014-02-27T19:19:36Z,Bitcoin Owners Find Safe Place for Digital Currency: On Paper,Neutral,2
2014-02-27T23:31:07Z,Vietnam Says Bitcoin Transactions Are Illegal,Negative,1
2014-02-28T04:11:44Z,Blind evangelism next big threat to bitcoin after Gox bust,Negative,1
2014-02-28T04:37:36Z,Tokyo Bitcoin Exchange Files for Bankruptcy,Negative,1
2014-02-28T09:10:13Z,Mt. Gox Bitcoin Debacle: Huge Heist or Sloppy Glitch?,Negative,1
2014-02-28T10:12:54Z,Fortress Discloses a Paper Loss on Bitcoin,Negative,1
2014-02-28T11:17:15Z,Bitcoin True Believers Unfazed by Losses in Mt. Gox Collapse,Neutral,2
2014-02-28T13:09:53Z,Mt. Gox Sued in United States Over Bitcoin Losses,Negative,1
2014-03-01T00:00:00Z,The Bitcoin Blasphemy,Neutral,2
2014-03-03T03:03:49Z,Bitcoin Exchange Looks Into Criminal Complaint,Negative,1
2014-03-03T12:02:01Z,Bitcoin Loss Highlights Elusive Paths of Regulation ,Negative,1
2014-03-03T16:50:45Z,Mt. Gox Collapse Could Ultimately Help Bitcoin-New York Regulator,Neutral,2
2014-03-04T14:14:35Z,Japan to Regulate and Tax Bitcoin Trades: Nikkei,Negative,1
2014-03-04T18:13:51Z,Bitcoin Bank Flexcoin Shuts Down After Theft,Negative,1
2014-03-04T19:15:44Z,"Japan to Set Bitcoin Rules, Stop Banks and Brokerages From Handling",Negative,1
2014-03-04T23:47:19Z,Japan LDP Official: Bitcoin Rule Needed for Consumer Protection,Neutral,2
2014-03-05T01:07:20Z,Japan Said to Be Ready to Impose Bitcoin Rules,Negative,1
2014-03-05T02:57:56Z,"Japan May Tax Bitcoin Deals, Stop Banks, Brokerages From Handling",Negative,1
2014-03-05T02:58:35Z,"Japan May Tax Bitcoin Deals, Stop Banks, Brokerages From Handling",Negative,1
2014-03-05T03:08:13Z,Canadian Police Investigating After Bitcoin Bank Flexcoin Folds,Negative,1
2014-03-05T04:23:51Z,Japan LDP Official: Bitcoin Rule Needed for Consumer Protection,Negative,1
2014-03-05T21:27:24Z,Singapore Police Probe 'Unnatural' Death of American CEO of Bitcoin Trader,Negative,1
2014-03-06T00:00:00Z,"For Bitcoin, Secure Future Might Need Oversight",Negative,1
2014-03-06T00:35:40Z,"CEO in Apparent Suicide Was Bitcoin Fan, Had Other Issues, Too",Negative,1
2014-03-06T00:49:28Z,CEO of Bitcoin Exchange Found Dead in Singapore,Negative,1
2014-03-06T07:10:48Z,"Daily Report: To Ensure a Secure Future, Bitcoin Might Need Oversight ",Negative,1
2014-03-06T14:20:57Z,Bitcoin Is a Protocol. Bitcoin Is a Brand.,Negative,1
2014-03-06T19:18:05Z,Japan Says Not Fully Apprised of Bitcoin Situation,Negative,1
2014-03-06T19:34:57Z,Man Said to Create Bitcoin Denies It,Negative,1
2014-03-06T22:07:18Z,Bitcoin True Believers Unfazed by Losses in Mt. Gox Collapse,Neutral,2
2014-03-06T23:57:15Z,Japan Won't Impose Banking Laws on Bitcoin,Negative,1
2014-03-07T03:47:16Z,"A Week After Mt. Gox Collapse, Japan Struggles to Understand Bitcoin",Negative,1
2014-03-07T07:07:55Z,Daily Report: Mystery Swirls Around Unmasking of Bitcoin Inventor,Neutral,2
2014-03-07T12:41:43Z,Alleged Bitcoin founder denies involvement,Neutral,2
2014-03-07T12:51:43Z,Alleged Bitcoin founder denies involvement,Neutral,2
2014-03-08T00:00:00Z,Newsweek Returns to Print and Sets Off a Bitcoin Storm,Neutral,2
2014-03-10T15:30:51Z,Morgan Stanley Chief Calls Bitcoin 'Surreal',Negative,1
2014-03-10T15:32:46Z,Japanese Bitcoin Exchange Files US Bankruptcy Case,Neutral,2
2014-03-11T12:00:07Z,Bitcoin Foundation Bolsters Its Ranks,Negative,1
2014-03-11T15:09:42Z,Beware Bitcoin: U.S. Brokerage Regulator,Negative,1
2014-03-11T17:14:02Z,U.S. Judge Freezes Assets of Mt. Gox Bitcoin Exchange Boss,Negative,1
2014-03-11T17:18:00Z,U.S. Swaps Watchdog Says Considering Bitcoin Regulation,Negative,1
2014-03-11T19:04:18Z,"At Tech Fest: 3D Printers, Bitcoin and 'Titanfall'",Negative,1
2014-03-11T19:10:18Z,A Turnaround for Bitcoin at SXSW,Negative,1
2014-03-14T01:51:29Z,Mind Your Wallet: Why the Underworld Loves Bitcoin,Negative,1
2014-03-15T11:13:43Z,U.S. Class Action Over Bitcoin Losses Names Mizuho as Defendant,Negative,1
2014-03-16T01:26:44Z,"Japan's Mizuho in U.S., Canada Suits Over Mt. Gox Bitcoin Losses",Neutral,2
2014-03-17T00:00:00Z,Letter From Nakamoto on Bitcoin Claim,Negative,1
2014-03-17T13:19:01Z,Nakamoto Hires Lawyer in Newsweek Bitcoin Fight,Negative,1
2014-03-18T00:00:00Z,Putative Bitcoin Founder Categorically Denies It ,Negative,1
2014-03-18T02:50:23Z,"Mt. Gox Updates Website, Allows Customers to Check Bitcoin Balances",Negative,1
2014-03-18T23:00:38Z,"Fortress, Benchmark and Ribbit  Buy Stake in Pantera Bitcoin ",Negative,1
2014-03-19T16:52:06Z,"In Hong Kong, Placing Their Bets on Bitcoin",Neutral,2
2014-03-19T19:39:45Z,Bitcoin Firms Explore U.S. Rules for Derivative Exchanges,Negative,1
2014-03-20T00:00:00Z,Placing Their Bets on Bitcoin,Negative,1
2014-03-20T07:50:07Z,Daily Report: Entrepreneurs in Hong Kong Place Their Bets on Bitcoin,Negative,1
2014-03-21T08:11:58Z,Mt. Gox Says It Found Missing Bitcoin Worth About $116 Million,Neutral,2
2014-03-25T14:43:08Z,IRS Says Bitcoin Will Be Taxed Like Property,Negative,1
2014-03-25T14:59:47Z,I.R.S. Takes a Position on Bitcoin: It's Property ,Negative,1
2014-03-25T18:28:36Z,Andreessen Skewers Buffett for Doubting Bitcoin,Negative,1
