Week,Bitcoin
2013-03-17 - 2013-03-23,15
2013-03-24 - 2013-03-30,23
2013-03-31 - 2013-04-06,36
2013-04-07 - 2013-04-13,70
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,23
2013-04-28 - 2013-05-04,21
2013-05-05 - 2013-05-11,17
2013-05-12 - 2013-05-18,16
2013-05-19 - 2013-05-25,14
2013-05-26 - 2013-06-01,14
2013-06-02 - 2013-06-08,12
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,10
2013-06-23 - 2013-06-29,10
2013-06-30 - 2013-07-06,14
2013-07-07 - 2013-07-13,10
2013-07-14 - 2013-07-20,9
2013-07-21 - 2013-07-27,9
2013-07-28 - 2013-08-03,10
2013-08-04 - 2013-08-10,10
2013-08-11 - 2013-08-17,12
2013-08-18 - 2013-08-24,11
2013-08-25 - 2013-08-31,11
2013-09-01 - 2013-09-07,9
2013-09-08 - 2013-09-14,8
2013-09-15 - 2013-09-21,8
2013-09-22 - 2013-09-28,9
2013-09-29 - 2013-10-05,16
2013-10-06 - 2013-10-12,11
2013-10-13 - 2013-10-19,11
2013-10-20 - 2013-10-26,13
2013-10-27 - 2013-11-02,34
2013-11-03 - 2013-11-09,31
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,78
2013-11-24 - 2013-11-30,100
2013-12-01 - 2013-12-07,95
2013-12-08 - 2013-12-14,67
2013-12-15 - 2013-12-21,69
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,38
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,41
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,42
2014-02-02 - 2014-02-08,36
2014-02-09 - 2014-02-15,46
2014-02-16 - 2014-02-22,38
2014-02-23 - 2014-03-01,82
2014-03-02 - 2014-03-08,58
2014-03-09 - 2014-03-15,31
2014-03-16 - 2014-03-22,27
2014-03-23 - 2014-03-29,27
2014-03-30 - 2014-04-05,23
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,17
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,15
2014-05-18 - 2014-05-24,16
2014-05-25 - 2014-05-31,19
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,17
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,14
2014-06-29 - 2014-07-05,16
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,18
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,15
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,16
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,14
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,14
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,16
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,16
2014-12-28 - 2015-01-03,15
2015-01-04 - 2015-01-10,16
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,16
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,15
